"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","947824196909961216","Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!","Mon Jan 01 13:37:52 +0000 2018",8237,,51473,false
"Twitter for iPhone","947810806430826496","Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food &amp; for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!","Mon Jan 01 12:44:40 +0000 2018",14595,"25073877",53557,false
"Twitter for iPhone","947802588174577664","The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp; deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!","Mon Jan 01 12:12:00 +0000 2018",49566,,138808,false
"Twitter for iPhone","947614110082043904","HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!","Sun Dec 31 23:43:04 +0000 2017",35164,,154769,false
"Twitter for iPhone","947592785519173637","As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!","Sun Dec 31 22:18:20 +0000 2017",39428,,157655,false
"Twitter for iPhone","947588263103139841","Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!","Sun Dec 31 22:00:21 +0000 2017",27984,,87056,false
"Media Studio","947544600918372353","What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!! https://t.co/qsMNyN1UJG","Sun Dec 31 19:06:52 +0000 2017",26433,,100219,false
"Twitter for iPhone","947536951464333318","My deepest condolences to the victims of the terrible shooting in Douglas County @DCSheriff, and their families. We love our police and law enforcement - God Bless them all! #LESM","Sun Dec 31 18:36:28 +0000 2017",16989,,75704,false
"Twitter for iPhone","947461470924820480","Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts &amp; more?","Sun Dec 31 13:36:32 +0000 2017",25981,,106000,false
"Twitter for iPhone","947458942719979520","If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning! https://t.co/9TzSC8F8vY","Sun Dec 31 13:26:29 +0000 2017",14449,,63245,false
