"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","966998215592677376","MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers come back in from El Salvador, and through Mexico, like water. El Salvador just takes our money, and Mexico must help MORE with this problem. We need The Wall!","Fri Feb 23 11:28:35 +0000 2018",28423,,125750,false
"Twitter for iPhone","966846679784837120","“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like so much of CNN, Fake News. That’s why their ratings are so bad! MSNBC may be worse.","Fri Feb 23 01:26:26 +0000 2018",32011,,113224,false
"Twitter for iPhone","966766375292358659","Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, law enforcement officers, and education officials.

There is nothing more important than protecting our children. They deserve to be safe, and we will deliver! https://t.co/WhC2AxgWXO","Thu Feb 22 20:07:20 +0000 2018",18621,,83274,false
"Media Studio","966711641378381826","On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA #Olympics https://t.co/3cUZwLVGua","Thu Feb 22 16:29:50 +0000 2018",18326,,103358,false
"Twitter for iPhone","966687491616059392","Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’s Governors. It’s been many years of all talk, no action. We’ll get it done!","Thu Feb 22 14:53:52 +0000 2018",19752,,106094,false
"Twitter for iPhone","966681883206668289","What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard at the @NRA are Great People and Great American Patriots. They love our Country and will do the right thing.                  MAKE AMERICA GREAT AGAIN!","Thu Feb 22 14:31:35 +0000 2018",22574,,92246,false
"Twitter for iPhone","966662241977360384","I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end sale of Bump Stocks! Congress is in a mood to finally do something on this issue - I hope!","Thu Feb 22 13:13:32 +0000 2018",36750,,185614,false
"Twitter for iPhone","966660169194229761","....If a potential “sicko shooter” knows that a school has a large number of very weapons talented teachers (and others) who will be instantly shooting, the sicko will NEVER attack that school. Cowards won’t go there...problem solved. Must be offensive, defense alone won’t work!","Thu Feb 22 13:05:18 +0000 2018",25680,,106687,false
"Twitter for iPhone","966657362789568512","....History shows that a school shooting lasts, on average, 3 minutes. It takes police &amp; first responders approximately 5 to 8 minutes to get to site of crime. Highly trained, gun adept, teachers/coaches would solve the problem instantly, before police arrive. GREAT DETERRENT!","Thu Feb 22 12:54:09 +0000 2018",29535,,125135,false
"Twitter for iPhone","966653833047887874","....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would also serve as a deterrent to the cowards that do this. Far more assets at much less cost than guards. A “gun free” school is a magnet for bad people. ATTACKS WOULD END!","Thu Feb 22 12:40:08 +0000 2018",22428,,102063,false
"Twitter for iPhone","966650397002813440","I never said “give teachers guns” like was stated on Fake News @CNN &amp; @NBC. What I said was to look at the possibility of giving “concealed guns to gun adept teachers with military or special training experience - only the best. 20% of teachers, a lot, would now be able to","Thu Feb 22 12:26:28 +0000 2018",22391,,88498,false
"Twitter for iPhone","966487844662456320","I will always remember the time I spent today with courageous students, teachers and families. So much love in the midst of so much pain. We must not let them down. We must keep our children safe!!

Full Listening Session: https://t.co/x5VenyQX5p https://t.co/CAPfX5odIp","Thu Feb 22 01:40:33 +0000 2018",23676,,105342,false
"Twitter for iPhone","966420452070559749",".@FLOTUS Melania and I join millions of people around the world in mourning the passing of Billy Graham. Our prayers are with his children, grandchildren, great-grandchildren and all who worked closely with Reverend Graham in his lifelong ministry. https://t.co/e1697tcyaI","Wed Feb 21 21:12:45 +0000 2018",18201,,83667,false
"Media Studio","966377081469882368","Yesterday, it was my great honor to recognize extraordinary Law Enforcement Officers and First Responders, and to award them the the highest possible decoration for bravery by public safety officers, the Medal of Valor. #AmericanHeroes https://t.co/em0wBbvy5P","Wed Feb 21 18:20:25 +0000 2018",15075,,74336,false
"Twitter for iPhone","966321700588711936","Question: If all of the Russian meddling took place during the Obama Administration, right up to January 20th, why aren’t they the subject of the investigation? Why didn’t Obama do something about the meddling? Why aren’t Dem crimes under investigation? Ask Jeff Sessions!","Wed Feb 21 14:40:21 +0000 2018",32325,,115969,false
"Twitter for iPhone","966317112565420033","The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.","Wed Feb 21 14:22:07 +0000 2018",29719,,150289,false
