"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for Android","550441250965708800","""@ronmeier123: @Macys Your APPAREL is UNPARALLELED! In Order to OUTSMART the Rest, You Always Need to Be Looking Your Best! TRUMP 2016!""","Wed Dec 31 23:59:55 +0000 2014",8,,21,false
"Twitter for Android","550441111513493506","""@gillule4: @realDonaldTrump incredible experience at the world famous Mar A Lago Club😄happy New Year""","Wed Dec 31 23:59:22 +0000 2014",5,,18,false
"Twitter for Android","550440752254562304","""@JobSnarechs: Negotiation tip #1: The worst thing you can possibly do in a deal is seem desperate to make it. - @realDonaldTrump"" So true!","Wed Dec 31 23:57:56 +0000 2014",33,,44,false
"Twitter for Android","550440620792492032","""@joelmch2os: @realDonaldTrump announce your presidential campaign tonight. WE NEED A LEADER! #trump4pres http://t.co/NWl8Q94W2J""","Wed Dec 31 23:57:25 +0000 2014",8,,26,false
"Twitter for Android","550440523094577152","""@djspookyshadow: Feeling a deep gratitude for all the inspiration u had given me through 2014. Sincerely wishing u more success to come!","Wed Dec 31 23:57:02 +0000 2014",9,,31,false
"Twitter for Android","550440363090280448","""@cpetelis: @realDonaldTrump If you run for President I, a democrat will vote for you. Watched Merideth Show on 12/22""","Wed Dec 31 23:56:23 +0000 2014",6,,18,false
"Twitter for Android","550399835682390016","To EVERYONE, including all haters and losers, HAPPY NEW YEAR. Work hard, be smart and always remember,  WINNING TAKES CARE OF EVERYTHING!","Wed Dec 31 21:15:21 +0000 2014",1271,,1209,false
"Twitter for Android","550397860240707584","""@BrettNeveraski: I see you @realDonaldTrump http://t.co/xxCpausWuP""","Wed Dec 31 21:07:30 +0000 2014",53,,166,false
"Twitter Web Client","550318647215144960","In the end, you're measured not by how much you undertake but by what you finally accomplish.","Wed Dec 31 15:52:44 +0000 2014",283,,325,false
"Twitter Web Client","550318122054725632","Without passion you don't have energy, without energy you have nothing. Find work that you love and the energy will be there.","Wed Dec 31 15:50:39 +0000 2014",507,,562,false
"Twitter Web Client","550316740375490560","If you're interested in 'balancing' work and pleasure, stop trying to balance them. Instead make your work more pleasurable.","Wed Dec 31 15:45:09 +0000 2014",360,,441,false
"Twitter for Android","550135541224976384","""@peter_upfield: @realDonaldTrump @frank_puggi Run Donald, Run!""","Wed Dec 31 03:45:08 +0000 2014",6,,24,false
"Twitter for Android","550135310420815872","""@SellingVA: ""@realDonaldTrump: Sometimes by losing a battle you find a new way to win the war.""""","Wed Dec 31 03:44:13 +0000 2014",54,,96,false
"Twitter for Android","550132849215819776","""@frank_puggi: @realDonaldTrump @realDonaldTrump If one man could get this fucking country back together Donald Trump can. I admire him.""","Wed Dec 31 03:34:26 +0000 2014",23,,62,false
"Twitter Web Client","550046337547665409","What separates the winners from the losers is how a person reacts to each new twist of fate.","Tue Dec 30 21:50:40 +0000 2014",580,,512,false
"Twitter Web Client","550045430487461888","Sometimes by losing a battle you find a new way to win the war.","Tue Dec 30 21:47:04 +0000 2014",447,,499,false
"Twitter Web Client","550039726510850048","Where’s the electability? Jeb is losing to HRC by 13 points. A Bush will never beat a Clinton. Wake up @GOP!","Tue Dec 30 21:24:24 +0000 2014",139,,189,false
"Twitter Web Client","550008833100505089","The Trump Signature Collection, exclusively available at @Macys, tops all menswear styles. Dress to impress!  http://t.co/hotvBiBizM","Tue Dec 30 19:21:39 +0000 2014",27,,46,false
"Twitter Web Client","549980245093527552","This Sunday at 9/8C, the real playoffs begin with the premiere of @apprenticenbc! Game on in the Boardroom... http://t.co/MiVcT6zjEk","Tue Dec 30 17:28:03 +0000 2014",47,,82,false
"Twitter for Android","549888212102295552","""@realDBP: @realDonaldTrump @rinibobusepi Mr. Trump, will you consider running for President? The country needs you.""","Tue Dec 30 11:22:20 +0000 2014",23,,37,false
"Twitter for Android","549887682261049344","""@ronmeier123 @bryabntshirley1 Even the Elf On The Shelf is STARTING to get Restless! On JANUARY 4th the APPRENTICE is going to be Great!""","Tue Dec 30 11:20:14 +0000 2014",14,,33,false
"Twitter for Android","549887163740196864","""@HOVG: @robcesternino Johnny Damon talks @ApprenticeNBC and working for @realDonaldTrump. http://t.co/sg8CCSJMFB #celebapprentice""","Tue Dec 30 11:18:10 +0000 2014",8,,19,false
"Twitter for Android","549886622943444992","""@rinibobusepi: RT @realDonaldTrump “You're never a loser until you quit trying,” - Mike Ditka""","Tue Dec 30 11:16:01 +0000 2014",61,,64,false
"Twitter for Android","549885795679891456","""@gigicats6: Am sooo glad that Joan R will still be on CA, as I'm sure all of her fans are. Thank you for honoring her this way.""","Tue Dec 30 11:12:44 +0000 2014",12,,34,false
"Twitter for Android","549885245177479169","""@HebExcursions: @realDonaldTrump Tours of Lewis and Harris with Hebridean Excursions""  Great places!","Tue Dec 30 11:10:33 +0000 2014",7,,16,false
"Twitter for Android","549884681748234240","""@PianoBecca: @realDonaldTrump You are the kindest heart in all of USA. You give SO much to us &amp; you forgive the haters &amp; loosers!""","Tue Dec 30 11:08:19 +0000 2014",15,,24,false
"Twitter for Android","549883185921015808",".@CoachDanMullen  Great to have you and your GREAT team at Trump National Doral. Go out and finish your fantastic season in style!","Tue Dec 30 11:02:22 +0000 2014",583,,659,false
"Twitter for Android","549718462684495872","""@VeryOddDog: What's BRUTAL is a nation WITHOUT the vision, interpid leadership &amp; PLAIN COMMON SENSE of @realDonaldTrump for PRESIDENT!""","Tue Dec 30 00:07:49 +0000 2014",39,,65,false
"Twitter for Android","549718332371632128","""@bryabntshirley1: @realDonaldTrump yeah Donald can't wait to see apprentice been too long""","Tue Dec 30 00:07:18 +0000 2014",5,,31,false
"Twitter for Android","549718286787944448","""@VRafaaa: @realDonaldTrump What grade 1-10 you give to the reign of Gabriela Isler ??? Greetings from Brazil!  She gets a solid 10!","Tue Dec 30 00:07:07 +0000 2014",47,,65,false
"Twitter for Android","549717975864213504","""@NotNotTildaSwin: @realDonaldTrump Mr Trump, we need your kind of art. The world needs more of your Poetry of Profit. A TRUE artist!""","Tue Dec 30 00:05:53 +0000 2014",13,,30,false
"Twitter for Android","549706037868371969","""@krb117: “@IvankaTrump: @CoachDanMullen Welcome to #TrumpDoral and good luck on Wednesday! cc:  #OrangeBowl” well well.. #HailState""","Mon Dec 29 23:18:27 +0000 2014",189,,202,false
"Twitter Web Client","549681315436838913","If you can’t see it, it will never happen. Bring your vision to fruition through perseverance and hard work. That will build momentum.","Mon Dec 29 21:40:12 +0000 2014",328,,320,false
"Twitter Web Client","549680451498299393","Via @Inc by @steelwire: “Donald Trump – To Micromanage or Not To Micromanage?” http://t.co/LTGlyfpMLz","Mon Dec 29 21:36:46 +0000 2014",11,,30,false
"Twitter Web Client","549669060800434177","“Donald Trump on 'Brutal' New Season of @ApprenticeNBC”
  https://t.co/Cv2uncAuhw via @YahooTV","Mon Dec 29 20:51:31 +0000 2014",26,,46,false
"Twitter Web Client","549661637322739713","Via @CarrGaz: “Trump’s grand plans for @TrumpTurnberry resort get the green light” http://t.co/fy8hH8k6KP","Mon Dec 29 20:22:01 +0000 2014",11,,21,false
"Twitter Web Client","549634351882059777","Via @NewsInTheBurg: “@chefjoseandres to open restaurant in Trump Int’l Washington, D.C.” http://t.co/3UYaJoJAML","Mon Dec 29 18:33:35 +0000 2014",15,,22,false
"Twitter Web Client","549591267248992256","Sometimes your best investments are the ones you don't make.","Mon Dec 29 15:42:23 +0000 2014",363,,423,false
"Twitter Web Client","549590602653134848","If you're going to be thinking, you may as well think big.","Mon Dec 29 15:39:45 +0000 2014",509,,451,false
"Twitter Web Client","549590421190770688","Deals are my art form. Other people paint beautifully or write poetry. I like making deals, preferably big deals. That's how I get my kicks.","Mon Dec 29 15:39:01 +0000 2014",210,,295,false
"Twitter for Android","549543147102281728","""@RamonAtila: I enjoyed your book 'Think like a Billionaire' for the second time. You give very practical advice and it really helps""","Mon Dec 29 12:31:10 +0000 2014",13,,37,false
"Twitter for Android","549543039015071744","""@Paulynesian: You got to love @realDonaldTrump ...enjoyed his inspiring words...all the way from Down Under!""","Mon Dec 29 12:30:45 +0000 2014",5,,18,false
"Twitter for Android","549542967976148993","""@F_Anne_Spears: @realDonaldTrump @foxandfriends Always enjoy your common sense. Wish the ones in office would use theirs.""","Mon Dec 29 12:30:28 +0000 2014",7,,21,false
"Twitter for Android","549542695086338048","""@TpGraf82: @realDonaldTrump great job on @foxandfriends we need you or we will be stuck with another #clinton""","Mon Dec 29 12:29:23 +0000 2014",3,,16,false
"Twitter for Android","549542272401154048","""@fackinpeter: @realDonaldTrump inspiring words on @foxandfriends this morning great job as always""","Mon Dec 29 12:27:42 +0000 2014",4,,15,false
"Twitter for Android","549542153471688705","""@fackinpeter: Just watched you on @foxandfriends while putting on a @realDonaldTrump tie getting ready for work #DoubleTrump","Mon Dec 29 12:27:14 +0000 2014",7,,19,false
"Twitter for Android","549538800914157569","@foxandfriends in two minutes.","Mon Dec 29 12:13:54 +0000 2014",5,"15513604",15,false
"Twitter for Android","549538435934191617","""@MarkFleming22: @realDonaldTrump Is there any particular celebrity you would want to have on The Apprentice?"" Pete Rose &amp; let him in Hall!","Mon Dec 29 12:12:27 +0000 2014",22,,55,false
"Twitter for Android","549538109688655872","""@TheOnlyCdorsey: Wearing the @realDonaldTrump signature collection today #lookgoodfeelgoodscangood""","Mon Dec 29 12:11:09 +0000 2014",6,,13,false
"Twitter for Android","549537973881290752","""@paxton_pete: Please RT? Very sick 8 year old British girl with rare cancer needs help to get more treatment. http://t.co/yxf0OzCiMS""","Mon Dec 29 12:10:37 +0000 2014",47,,32,false
"Twitter for Android","549528880609230851","""@995mu: No once respect is lost, it's gone forever, always suspicion in any relationship @realDonaldTrump @foxandfriends""","Mon Dec 29 11:34:29 +0000 2014",16,,27,false
"Twitter for Android","549528783095861248","""@PMuisiner: @realDonaldTrump @foxandfriends Looking forward to his thoughts""","Mon Dec 29 11:34:06 +0000 2014",2,,12,false
"Twitter for Android","549528715047485442","""@ElephantPeacock: @realDonaldTrump @foxandfriends Nice lil' cliff hanger you've created... much suspense. Very edge of seat. Wow.""","Mon Dec 29 11:33:50 +0000 2014",7,,20,false
"Twitter for Android","549526901908578304","""@DrChimRickles: @realDonaldTrump @foxandfriends please talk about how you maintain such perfect presidential hair! #Trump2016","Mon Dec 29 11:26:37 +0000 2014",12,,29,false
"Twitter for Android","549526208372043776","""@twinroj: @realDonaldTrump im british but i sure would vote for you if i was american #Trump2016""","Mon Dec 29 11:23:52 +0000 2014",9,,23,false
"Twitter for Android","549526142257229825","""@MarriamF: My bday just been so perfect so far 💗 only way it will be better if my inspiration @realDonaldTrump wishes me happy bday 👌""","Mon Dec 29 11:23:36 +0000 2014",5,,23,false
"Twitter for Android","549519209185968128","Can the relationship between the mayor of New York City and the police force ever be fixed?  Tune in to @foxandfriends at 7:15.","Mon Dec 29 10:56:03 +0000 2014",31,,46,false
"Twitter for Android","549446594568146944","""@hwpal: @realDonaldTrump Voting for DonaldTrump16 is voting for the essence of being American &amp;the value of great capitalism #trump16""","Mon Dec 29 06:07:31 +0000 2014",21,,40,false
"Twitter for Android","549445629395873793","""@sheryl_laine: DonaldTrump not one thing about you is not loved. 2016 president! There is hope and where there is hope there is promise","Mon Dec 29 06:03:40 +0000 2014",10,,40,false
"Twitter for Android","549445048354762752","""@coolwillie13: @realDonaldTrump You'll definitely carry the South. Go for it! #Trump2016""","Mon Dec 29 06:01:22 +0000 2014",7,,41,false
"Twitter for Android","549444829684707328","""@Firehart555: @realDonaldTrump @foxandfriends I'll be watching Mr Trump.""","Mon Dec 29 06:00:30 +0000 2014",5,,24,false
"Twitter for Android","549444557646356480","""@Thescroggins12: @realDonaldTrump @Mer_1135 @blakemharris Trump for President !! Your Country Needs You !""","Mon Dec 29 05:59:25 +0000 2014",11,,41,false
