"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Twitter for iPhone","815271067749060609","RT @realDonaldTrump: Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz","Sat Dec 31 18:59:04 +0000 2016",9529,,0,true
"Twitter for iPhone","815270850916208644","Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz","Sat Dec 31 18:58:12 +0000 2016",9529,,55601,false
"Twitter for Android","815185071317676033","Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!","Sat Dec 31 13:17:21 +0000 2016",141853,,350860,false
"Twitter for Android","814958820980039681","Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!","Fri Dec 30 22:18:18 +0000 2016",23213,,84254,false
"Twitter for iPhone","814920722208296960","Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV","Fri Dec 30 19:46:55 +0000 2016",7366,,25336,false
"Twitter for Android","814919370711461890","Great move on delay (by V. Putin) - I always knew he was very smart!","Fri Dec 30 19:41:33 +0000 2016",34415,,97669,false
"Twitter for iPhone","814484710025994241","My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy","Thu Dec 29 14:54:21 +0000 2016",11330,,45609,false
"Twitter for iPhone","814231064847728640","'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ","Wed Dec 28 22:06:28 +0000 2016",13919,,51857,false
"Twitter for Android","814114980983427073","not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!","Wed Dec 28 14:25:11 +0000 2016",34542,,117710,false
"Twitter for Android","814113616110751744","We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......","Wed Dec 28 14:19:46 +0000 2016",30237,,106626,false
"Twitter for Android","814110460761018368","Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!","Wed Dec 28 14:07:13 +0000 2016",31799,,117900,false
"Twitter for Android","813945096269860866","The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!","Wed Dec 28 03:10:07 +0000 2016",19159,,78521,false
"Twitter for Android","813865160163098628","President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!","Tue Dec 27 21:52:29 +0000 2016",23222,,99838,false
"Twitter for Android","813581917215977473","The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!","Tue Dec 27 03:06:59 +0000 2016",15256,,67470,false
"Twitter for Android","813578484572450816","I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!","Tue Dec 27 02:53:20 +0000 2016",17414,,71643,false
"Twitter for iPhone","813527932165558273","The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!","Mon Dec 26 23:32:28 +0000 2016",30090,,128341,false
"Twitter for Android","813500123053490176","The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!","Mon Dec 26 21:41:58 +0000 2016",22128,,77746,false
"Twitter for Android","813498739923054593","President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.","Mon Dec 26 21:36:28 +0000 2016",22240,,91300,false
"Twitter for Android","813079058896535552","Merry Christmas and a very, very, very , very Happy New Year to everyone!","Sun Dec 25 17:48:48 +0000 2016",50193,,212467,false
"Twitter for iPhone","813003030186622976","#MerryChristmas https://t.co/5GgDmJrGMS","Sun Dec 25 12:46:41 +0000 2016",42571,,151610,false
"Twitter for Android","812815404175421445",".@FoxNews - ""Objectified"" tonight at 10:00 P.M. Enjoy!","Sun Dec 25 00:21:08 +0000 2016",1482,,5871,false
"Twitter for iPhone","812775995837218816","Happy #Hanukkah https://t.co/UvZwtykV1E","Sat Dec 24 21:44:32 +0000 2016",22072,,84565,false
"Twitter for Android","812773204561379330","The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!","Sat Dec 24 21:33:27 +0000 2016",19826,,83507,false
"Twitter for Android","812764662500622336",".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!","Sat Dec 24 20:59:30 +0000 2016",16670,,62856,false
"Twitter for Android","812450976670121985","Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!","Sat Dec 24 00:13:02 +0000 2016",31749,,112957,false
